_timestamp,total_loss,value_loss,policy_loss,_step,_runtime
1769413152.3826535,2.1907570362091064,0.5129181742668152,1.6778388023376465,31,2931.058187558
1769413152.4074724,2.1214447021484375,0.5193776488304138,1.602066993713379,32,2931.082973532
1769413152.6122668,2.117858409881592,0.42997705936431885,1.6878812313079834,33,2931.28777282
1769413152.8170578,2.3159029483795166,0.5114144086837769,1.8044885396957397,34,2931.492600371
1769413153.0217729,1.923224925994873,0.43155598640441895,1.491668939590454,35,2931.697288502
1769413153.0465007,2.1368281841278076,0.49473148584365845,1.642096757888794,36,2931.721993194
1769413153.2533803,2.1623973846435547,0.5114578008651733,1.6509394645690918,37,2931.928890734
1769413153.4578376,1.7970595359802246,0.40338441729545593,1.3936750888824463,38,2932.133410244
1769413153.6623955,2.1745364665985107,0.46659427881240845,1.707942247390747,39,2932.337910825
1769414298.837482,2.340367555618286,0.5357587933540344,1.8046088218688965,40,4077.513052935
1769414299.0445356,1.9895877838134766,0.4236060380935669,1.5659817457199097,41,4077.720083978
1769414299.2496052,2.511220932006836,0.6100269556045532,1.9011940956115723,42,4077.925136769
1769414299.4545906,1.869980812072754,0.391149640083313,1.478831171989441,43,4078.130109089
1769414299.488468,2.0808069705963135,0.5229904651641846,1.557816505432129,44,4078.164012931
1769414299.6935058,2.0402650833129883,0.47847890853881836,1.56178617477417,45,4078.369022206
1769414299.8984048,1.8420424461364746,0.4282538890838623,1.4137885570526123,46,4078.573932233
1769414300.1033585,2.5330276489257812,0.5729716420173645,1.9600560665130615,47,4078.778901449
1769414300.1350346,2.358515739440918,0.5606823563575745,1.7978334426879883,48,4078.810563733
1769414300.3400755,1.9456281661987305,0.4287835955619812,1.5168445110321045,49,4079.015601601
1769414300.5447934,2.081392288208008,0.48123854398727417,1.6001536846160889,50,4079.220343045
1769414300.749926,2.2002739906311035,0.48964178562164307,1.710632085800171,51,4079.425742475
1769414300.7818286,2.367699384689331,0.48812881112098694,1.8795706033706665,52,4079.457320954
1769414300.9868789,2.055460214614868,0.43486982583999634,1.620590329170227,53,4079.662461957
1769414301.1916502,2.134216070175171,0.4533553421497345,1.6808607578277588,54,4079.867187878
1769414301.3967078,1.89180588722229,0.40306204557418823,1.488743782043457,55,4080.072537603
1769415563.7456937,2.0894904136657715,0.41899898648262024,1.670491337776184,56,5342.421188095
1769415563.952793,2.1619808673858643,0.455933541059494,1.7060474157333374,57,5342.628359724
1769415564.1583333,2.1014528274536133,0.552645206451416,1.5488076210021973,58,5342.833930344
1769415564.3639486,2.2935709953308105,0.4917921721935272,1.801778793334961,59,5343.039814845
1769415564.4418664,2.1148464679718018,0.4313068389892578,1.683539628982544,60,5343.117374027
1769415564.647148,2.070712089538574,0.4649263918399811,1.605785608291626,61,5343.32271905
1769415564.8522441,2.1512207984924316,0.5015321373939514,1.649688720703125,62,5343.527803202
1769415565.0578642,2.0088491439819336,0.4686911106109619,1.5401580333709717,63,5343.733414464
1769415565.1316335,1.9537428617477417,0.45523127913475037,1.498511552810669,64,5343.807166963
1769415565.3369787,2.370358943939209,0.5066138505935669,1.8637452125549316,65,5344.012565937
1769415565.542361,2.187933921813965,0.49632078409194946,1.6916130781173706,66,5344.217879663
1769415565.748382,2.168320894241333,0.49456384778022766,1.6737570762634277,67,5344.423971625
1769415565.8219235,2.063717842102051,0.5740212202072144,1.489696741104126,68,5344.497438937
1769415566.0271657,1.788415551185608,0.3506891429424286,1.437726378440857,69,5344.702676279
1769415566.2322176,1.8250222206115723,0.365562379360199,1.4594597816467285,70,5344.907747301
1769415566.4382985,2.060138702392578,0.49511992931365967,1.565018892288208,71,5345.113848827
1769416992.9847836,2.4060020446777344,0.5625147223472595,1.84348726272583,72,6771.660335579
1769416993.1921768,2.2108283042907715,0.499695360660553,1.7111330032348633,73,6771.868084202
1769416993.397237,2.450467109680176,0.5504162311553955,1.9000509977340698,74,6772.072796827
1769416993.6018717,2.0871622562408447,0.4869208037853241,1.6002415418624878,75,6772.277405035
1769416993.7276342,2.298579216003418,0.5811862945556641,1.7173930406570435,76,6772.403370353
1769416993.9328969,1.9961154460906982,0.4598124623298645,1.5363030433654785,77,6772.608475947
1769416994.1375215,2.1141068935394287,0.4817742705345154,1.6323325634002686,78,6772.813011817
1769416994.3421738,1.9567137956619263,0.432949036359787,1.523764729499817,79,6773.017644673
1769416994.4631202,2.2605552673339844,0.5628281831741333,1.6977269649505615,80,6773.138586174
1769416994.6675858,2.007108449935913,0.44153109192848206,1.5655772686004639,81,6773.343059681
1769416994.8709328,2.109722375869751,0.4883365035057068,1.6213858127593994,82,6773.54640691
1769416995.0736067,1.9621847867965698,0.5090833902359009,1.453101396560669,83,6773.749105738
1769416995.1927898,1.9243135452270508,0.43506908416748047,1.4892444610595703,84,6773.868306031
1769416995.3945465,1.9449445009231567,0.4222877025604248,1.522656798362732,85,6774.070034074
1769416995.595663,1.6621947288513184,0.40549832582473755,1.256696343421936,86,6774.271176911
1769416995.7965107,1.8282909393310547,0.37436532974243164,1.453925609588623,87,6774.472039508
1769418489.7507555,2.13364577293396,0.4429479241371155,1.6906979084014893,88,8268.426302395
1769418489.9596636,2.3072805404663086,0.5566424131393433,1.7506380081176758,89,8268.635508265
1769418490.1650307,2.1283390522003174,0.48100700974464417,1.647331953048706,90,8268.840609486
1769418490.369887,2.1838598251342773,0.5178378820419312,1.6660220623016357,91,8269.045471189
1769418490.5063202,2.088047504425049,0.5024279952049255,1.5856194496154785,92,8269.182092641
1769418490.711986,2.0091776847839355,0.4450873136520386,1.5640904903411865,93,8269.3876924
1769418490.91811,2.1863062381744385,0.58688884973526,1.5994174480438232,94,8269.593874303
1769418491.1248918,2.1379001140594482,0.5110004544258118,1.6268997192382812,95,8269.800737498
1769418491.2575665,1.939785122871399,0.41334450244903564,1.5264406204223633,96,8269.933310126
1769418491.4639676,2.2324001789093018,0.5555058717727661,1.6768943071365356,97,8270.139721293
1769418491.6707847,2.0987462997436523,0.47319045662879944,1.6255557537078857,98,8270.346602135
1769418491.876236,2.113750696182251,0.5977969765663147,1.5159536600112915,99,8270.551982905
1769418492.0078526,1.7954469919204712,0.45867109298706055,1.3367758989334106,100,8270.683385739
1769418492.2126625,2.2573304176330566,0.5490977764129639,1.7082326412200928,101,8270.888187992
1769418492.417518,2.270092725753784,0.5449556708335876,1.7251371145248413,102,8271.093042714
1769418492.6231225,2.161491870880127,0.4344620108604431,1.727029800415039,103,8271.298876394
1769420152.796398,2.385899782180786,0.5784696340560913,1.8074301481246948,104,9931.471886361
1769420153.0029037,2.1713953018188477,0.47298964858055115,1.6984057426452637,105,9931.678465455
1769420153.208368,2.38212251663208,0.5779389142990112,1.8041834831237793,106,9931.883845684
1769420153.4131992,2.1738250255584717,0.5156474709510803,1.6581776142120361,107,9932.088714397
1769420153.5779204,2.0059828758239746,0.45580926537513733,1.5501735210418701,108,9932.253442363
1769420153.7828138,1.8415982723236084,0.44392114877700806,1.3976771831512451,109,9932.458339378
1769420153.9878337,2.157764434814453,0.5001823902130127,1.6575820446014404,110,9932.663409072
1769420154.192727,2.129410743713379,0.48819923400878906,1.6412116289138794,111,9932.868240288
1769420154.3546138,2.1726109981536865,0.547146737575531,1.6254642009735107,112,9933.030133098
1769420154.5560858,2.2626256942749023,0.5557025074958801,1.7069231271743774,113,9933.231569471
1769420154.7573445,2.0408883094787598,0.4752129316329956,1.5656754970550537,114,9933.432891973
1769420154.9587662,2.088195323944092,0.5031023025512695,1.5850930213928223,115,9933.634267674
1769420155.118599,2.2158384323120117,0.5180976390838623,1.697740912437439,116,9933.794132446
1769420155.319555,2.018000602722168,0.5293701887130737,1.4886302947998047,117,9933.995052545
1769420155.5204754,2.0927982330322266,0.5032105445861816,1.589587688446045,118,9934.195974027
1769420155.7224493,2.1309566497802734,0.5019304752349854,1.629026174545288,119,9934.398009116
1769421829.9121025,2.0861990451812744,0.5242581367492676,1.5619409084320068,120,11608.587596189
1769421830.1182382,2.0602734088897705,0.4763118624687195,1.5839614868164062,121,11608.793807991
1769421830.3234775,2.405108690261841,0.5309900641441345,1.8741185665130615,122,11608.999082708
1769421830.5286481,2.3042068481445312,0.564631998538971,1.739574909210205,123,11609.204185358
1769421830.692804,1.8566772937774658,0.44776177406311035,1.4089155197143555,124,11609.368318734
1769421830.8977163,2.066497802734375,0.5007832646369934,1.5657145977020264,125,11609.573223407
1769421831.102691,2.0080814361572266,0.43539562821388245,1.572685718536377,126,11609.778196913
1769421831.3077831,2.099461317062378,0.4810125231742859,1.6184487342834473,127,11609.983333193
1769421831.4695237,2.083557605743408,0.5382522344589233,1.5453054904937744,128,11610.145069771
1769421831.6745067,1.937730073928833,0.4027184844017029,1.5350115299224854,129,11610.35001183
1769421831.8793824,1.8372788429260254,0.421526700258255,1.4157521724700928,130,11610.55488129
1769421832.0842953,2.1107211112976074,0.5195415616035461,1.591179609298706,131,11610.759797931
1769421832.2456021,1.8863040208816528,0.4602550268173218,1.426048994064331,132,11610.921154489
1769421832.4506733,2.103450059890747,0.48083728551864624,1.622612714767456,133,11611.126253423
1769421832.6553938,1.730712652206421,0.4105789065361023,1.3201338052749634,134,11611.331170486
1769421832.860655,1.7991032600402832,0.3788140118122101,1.4202892780303955,135,11611.536207568
1769423593.0146282,2.2142724990844727,0.5851551294326782,1.629117488861084,136,13371.690204096
1769423593.2210324,2.1168694496154785,0.47418850660324097,1.6426810026168823,137,13371.896555848
1769423593.4260457,2.1191132068634033,0.5551577210426331,1.5639554262161255,138,13372.101615113
1769423593.6309826,2.014408588409424,0.5130600333213806,1.5013484954833984,139,13372.30652833
1769423593.8201964,2.2166035175323486,0.5897389054298401,1.6268646717071533,140,13372.495775697
1769423594.0249107,1.9223895072937012,0.43744558095932007,1.4849439859390259,141,13372.700505379
1769423594.2302096,1.9867792129516602,0.5336437225341797,1.4531354904174805,142,13372.905974068
1769423594.4335,1.7562427520751953,0.437032550573349,1.319210171699524,143,13373.109089162
1769423594.6194293,2.051759958267212,0.5036553144454956,1.5481046438217163,144,13373.294998149
1769423594.8238208,2.3684535026550293,0.7349194288253784,1.6335341930389404,145,13373.499404868
1769423595.0276134,1.9305511713027954,0.483772873878479,1.4467782974243164,146,13373.703209434
1769423595.2287207,2.15267276763916,0.5339605808258057,1.6187121868133545,147,13373.904242741
1769423595.413217,1.9661661386489868,0.5206598043441772,1.4455063343048096,148,13374.088728727
1769423595.6152046,1.7401262521743774,0.47595909237861633,1.2641671895980835,149,13374.290735892
1769423595.8145378,1.897891640663147,0.4924660921096802,1.4054255485534668,150,13374.490033149
1769423596.0137243,1.646986484527588,0.36211103200912476,1.2848753929138184,151,13374.68920652
