p_move_loss,policy_loss,p_move_labeled_frac,_step,_runtime,_timestamp,total_loss,value_loss
0.6109939217567444,1.6164500713348389,0.609375,21,2621.333595983,1771398139.8216882,2.2416128516197205,0.6251627802848816
0.7300325632095337,1.7006261348724365,0.625,22,2621.679081689,1771398140.167074,2.39914071559906,0.6985146999359131
0.6955872774124146,1.5132919549942017,0.625,23,2622.023661938,1771398140.5117002,2.111331343650818,0.5980396270751953
0.733238160610199,1.7243784666061401,0.5859375,24,2622.081595906,1771398140.569698,2.27166610956192,0.5472877025604248
0.7828184962272644,1.876561164855957,0.609375,25,2622.426585594,1771398140.9146364,2.531081259250641,0.6545201539993286
0.7041297554969788,1.755133867263794,0.6484375,26,2622.772624587,1771398141.2606766,2.4088258147239685,0.6536918878555298
0.6723570227622986,1.7035726308822632,0.609375,27,2623.11869282,1771398141.6067266,2.2716813683509827,0.5681086778640747
1.0303007364273071,1.4399863481521606,0.5859375,28,4751.036423162,1771400269.524639,2.0642541646957397,0.6242678165435791
1.112488865852356,1.5373716354370117,0.546875,29,4751.404173451,1771400269.892159,2.129735827445984,0.5923643112182617
0.7702960968017578,1.6167359352111816,0.53125,30,4751.760722515,1771400270.2487495,2.3226866722106934,0.7059508562088013
1.2111239433288574,1.5167567729949951,0.6328125,31,4752.116822939,1771400270.6048968,2.200387954711914,0.6836312413215637
0.7156640887260437,1.4506182670593262,0.6796875,32,4752.411029822,1771400270.8990362,2.094389259815216,0.6437709927558899
0.7963323593139648,1.550848126411438,0.640625,33,4752.745190982,1771400271.233209,2.1561732292175293,0.6053251028060913
0.9167004227638245,1.7698493003845215,0.5234375,34,4753.077511716,1771400271.5655267,2.3599345088005066,0.5900852680206299
0.747898280620575,1.540387511253357,0.6171875,35,4753.411504209,1771400271.8995512,2.1259885430336,0.5856010913848877
0.7367250323295593,1.551070213317871,0.546875,36,4753.680664054,1771400272.1687198,2.1456053853034973,0.5945351123809814
0.4737842082977295,1.277238130569458,0.59375,37,4754.012920209,1771400272.5009708,1.7581756114959717,0.48093754053115845
0.7474417090415955,1.467055082321167,0.53125,38,4754.344231788,1771400272.8322291,1.9990833401679993,0.5320281982421875
0.7909510731697083,1.5793132781982422,0.5390625,39,4754.677675515,1771400273.1657078,2.101012885570526,0.5216996669769287
0.5479170083999634,1.3814868927001953,0.546875,40,4754.945315226,1771400273.4333057,1.8258217573165894,0.44433504343032837
0.5418881773948669,1.3555456399917603,0.59375,41,4755.278111229,1771400273.7661564,1.799293577671051,0.44374799728393555
0.6322950720787048,1.4026422500610352,0.5546875,42,4755.609406298,1771400274.0974426,1.8599527478218079,0.4573104977607727
0.6009042859077454,1.424492359161377,0.5703125,43,4755.943422701,1771400274.4314027,1.9030057787895203,0.4785134196281433
1.483012318611145,1.5358033180236816,0.5703125,44,7575.566603394,1771403094.0548518,2.205379366874695,0.6695759296417236
1.2467448711395264,1.5581532716751099,0.546875,45,7575.947502813,1771403094.4355152,2.1006674766540527,0.5425140857696533
1.062867522239685,1.477597951889038,0.6171875,46,7576.314840077,1771403094.8028865,2.100737690925598,0.6231396198272705
0.8728301525115967,1.4673333168029785,0.578125,47,7576.684050534,1771403095.1720924,1.9924860000610352,0.5251526832580566
0.9432735443115234,1.5683770179748535,0.5625,48,7577.058080588,1771403095.5461295,2.1209378242492676,0.5525607466697693
0.8884304761886597,1.5771734714508057,0.609375,49,7577.262610693,1771403095.7506335,2.1953026056289673,0.6181288957595825
1.045008659362793,1.612250566482544,0.53125,50,7577.60541129,1771403096.0934367,2.217209577560425,0.6049590110778809
1.0702565908432007,1.468245029449463,0.6328125,51,7577.958497266,1771403096.4465322,2.034863591194153,0.5666186809539795
0.8239952921867371,1.4258034229278564,0.5390625,52,7578.310962726,1771403096.798998,1.9506245255470276,0.5248209834098816
0.9571259021759033,1.7078973054885864,0.4765625,53,7578.66084076,1771403097.1488733,2.2673497200012207,0.5594522953033447
