value_loss,policy_loss,_step,_runtime,_timestamp,total_loss
0.568723201751709,2.09322452545166,56,7699.652102315,1769418021.2724774,2.661947727203369
0.5684942603111267,2.1193532943725586,57,7699.801275357,1769418021.4217358,2.68784761428833
0.6535728573799133,2.2052688598632812,58,7700.212079979,1769418021.8323107,2.85884165763855
0.5799813866615295,2.118624210357666,59,7700.608356228,1769418022.2285333,2.698605537414551
0.5367939472198486,1.9392752647399902,60,9063.355256869,1769419384.9759536,2.476069211959839
0.5943781733512878,1.9987246990203857,61,9063.730216668,1769419385.350715,2.5931029319763184
0.49112874269485474,1.743685007095337,62,9064.134690619,1769419385.7551696,2.234813690185547
0.6347455978393555,2.258674383163452,63,9064.274875671,1769419385.8954089,2.8934199810028076
0.6107237935066223,2.128422737121582,64,9064.6727785,1769419386.293278,2.7391464710235596
0.5422021150588989,2.011248826980591,65,9065.083410531,1769419386.7037716,2.5534510612487793
0.5494143962860107,1.9448645114898682,66,9065.211435214,1769419386.8320363,2.494278907775879
0.5220197439193726,1.7801358699798584,67,9065.581180009,1769419387.2016819,2.3021554946899414
0.556633710861206,2.0339460372924805,68,9065.94408449,1769419387.5645711,2.5905797481536865
0.5115916728973389,1.9344792366027832,69,9066.062881663,1769419387.683426,2.446070909500122
0.5466258525848389,1.938551902770996,70,9066.431707732,1769419388.052203,2.485177755355835
0.6010866761207581,2.107048988342285,71,9066.806502861,1769419388.4270036,2.7081356048583984
