_step,_runtime,_timestamp,total_loss,value_loss,p_move_loss,policy_loss,p_move_labeled_frac
23,2577.863621184,1771780445.6536577,2.2153878211975098,0.6230950951576233,0.6810672283172607,1.5922927856445312,0.5390625
24,2577.938778075,1771780445.7288005,2.3811723589897156,0.6280531883239746,0.6480284333229065,1.7531192302703857,0.6171875
25,2578.312299418,1771780446.1022866,2.259370803833008,0.6449426412582397,0.5653860569000244,1.6144282817840576,0.5703125
26,2578.685824952,1771780446.4758103,2.386754870414734,0.611827552318573,0.6919199228286743,1.7749273777008057,0.5859375
27,2579.059963222,1771780446.8500245,2.34894722700119,0.5913946628570557,0.7233431935310364,1.7575526237487793,0.5859375
28,4265.450138566,1771782133.240317,2.188785433769226,0.6427431106567383,1.0737816095352173,1.5460424423217773,0.4921875
29,4265.856152591,1771782133.6461415,2.1226571798324585,0.5683051943778992,1.2021995782852173,1.554351806640625,0.515625
30,4266.233358594,1771782134.0232902,2.06589412689209,0.5538782477378845,0.950918436050415,1.5120158195495605,0.4921875
31,4266.614059229,1771782134.404038,2.1284894347190857,0.6030847430229187,0.8914828896522522,1.525404691696167,0.5625
32,4266.809652841,1771782134.5995889,2.1492010354995728,0.5692316293716431,0.7670415639877319,1.5799694061279297,0.5234375
33,4267.18074417,1771782134.9707298,2.384920358657837,0.7439097762107849,0.8987481594085693,1.6410105228424072,0.5546875
34,4267.550064538,1771782135.3400626,2.2781763076782227,0.5782033205032349,0.8154058456420898,1.6999731063842773,0.515625
35,4267.922702172,1771782135.712673,2.012759208679199,0.5533787608146667,0.6196444034576416,1.4593805074691772,0.5390625
36,4268.102006975,1771782135.892016,2.1006590127944946,0.5157368183135986,0.6643413305282593,1.5849223136901855,0.5390625
37,4268.471975998,1771782136.261955,2.037201017141342,0.5745554566383362,0.47529855370521545,1.4626455307006836,0.5390625
38,4268.843728433,1771782136.6337245,2.248201906681061,0.6046445369720459,0.6745895743370056,1.6435573101043701,0.5703125
39,4269.215037597,1771782137.005025,1.9547771215438843,0.5274108648300171,0.4856048822402954,1.4273663759231567,0.578125
40,4269.396009242,1771782137.186027,1.8372276723384857,0.4127562642097473,0.4222225248813629,1.424471378326416,0.5078125
41,4269.766124543,1771782137.556101,1.9785603284835815,0.49992626905441284,0.5573431253433228,1.4786338806152344,0.53125
42,4270.135905181,1771782137.9258835,1.8797314167022705,0.5169443488121033,0.5435290336608887,1.3627870082855225,0.515625
43,4270.505662559,1771782138.2956848,1.9418426752090454,0.45277467370033264,0.5960904359817505,1.4890680313110352,0.4140625
44,6069.245121035,1771783937.0352967,1.8390220999717712,0.45418858528137207,0.8376045823097229,1.3848334550857544,0.4765625
45,6069.637859356,1771783937.4278166,1.8322620391845703,0.5082284212112427,0.6851105690002441,1.3240336179733276,0.4609375
46,6070.028988133,1771783937.818984,1.989623785018921,0.5858346223831177,0.7564899921417236,1.4037890434265137,0.46875
47,6070.41065837,1771783938.2006438,1.8455763459205627,0.5404654145240784,0.6029862761497498,1.3051109313964844,0.4765625
48,6070.665493625,1771783938.4554424,1.765771508216858,0.42749837040901184,0.5883656740188599,1.3382731676101685,0.4296875
49,6071.038643341,1771783938.828616,1.735245257616043,0.46576619148254395,0.4218389689922333,1.2694790363311768,0.4765625
50,6071.412371043,1771783939.2024257,1.8263794779777527,0.5004786252975464,0.6737833619117737,1.3259007930755615,0.5
51,6071.784582609,1771783939.5745568,1.737618625164032,0.4123925268650055,0.4322682023048401,1.325226068496704,0.421875
52,6072.024469986,1771783939.8144007,1.7258546948432922,0.37833070755004883,0.5903658270835876,1.3475239276885986,0.4296875
53,6072.397417616,1771783940.1874316,1.7371692955493927,0.4219443202018738,0.4611198604106903,1.3152250051498413,0.4765625
